Author 1, Author 2, P(1->2), P(2->1),P(1->2)*P(2->1),(P(1->2)+P(2->1))/2, (P(1->2)^2+P(2->1)^2)/2
106930 ,87274 ,0.00409864146769,0.00760701482549,3.11784264091e-05,0.00585282814659,3.7332768218e-05
106930 ,87275 ,0.00317534334805,0.0014468772411,4.59433202298e-06,0.00231111029458,6.08812956441e-06
106930 ,87418 ,0.00661740345345,0.00381420109015,2.52401074661e-05,0.0052158022718,2.91690792109e-05
106930 ,87419 ,0.0108330227798,0.00707533579483,7.66472738401e-05,0.00895417928732,8.37073795787e-05
106930 ,87644 ,0.00643304077066,0.00491133807684,3.15948380868e-05,0.00567218942375,3.2752627631e-05
106930 ,87645 ,0.00851483678776,0.0110524190725,9.41095445127e-05,0.00978362793015,9.73292064387e-05
106930 ,87793 ,0.00889447921518,0.0150772995775,0.000134104727713,0.0119858893963,0.00015321836153
106930 ,87794 ,0.0302648542546,0.00763379222648,0.000231035609144,0.0189493232405,0.000487118093404
106930 ,87882 ,0.0076317903739,0.0110778865201,8.4544107707e-05,0.00935483844699,9.04818970313e-05
106930 ,87883 ,0.00598084644735,0.0016308055061,9.7535973175e-06,0.00380582597673,1.92150254128e-05
106930 ,88204 ,0.00690396173606,0.00770847470568,5.32190144114e-05,0.00730621822087,5.35426349705e-05
106930 ,88205 ,0.00554483960837,0.00872058880264,4.83542662012e-05,0.00713271420551,5.33969576737e-05
106930 ,88341 ,0.00589072393634,0.0119826737658,7.05866231735e-05,0.00893669885107,8.91425495358e-05
106930 ,88342 ,0.00698962888359,0.00228485469527,1.59702863729e-05,0.00463724178943,2.70377364544e-05
106930 ,88343 ,0.00414380236535,0.00239598155104,9.92847401855e-06,0.0032698919582,1.1455912818e-05
106930 ,88344 ,0.00637445832715,0.00413978997678,2.63889186901e-05,0.00525712415197,2.88857900082e-05
106930 ,88378 ,0.00643619017255,0.0085234290482,5.48584102765e-05,0.00747980961038,5.70366933385e-05
106930 ,88379 ,0.00463460566923,0.0024494525409,1.13522466326e-05,0.00354202910507,1.37396937297e-05
106930 ,88412 ,0.016456958523,0.0210234343454,0.000345981787033,0.0187401964342,0.000356408137751
106930 ,88413 ,0.0160473859621,0.00975667688552,0.000156569159689,0.0129020314238,0.000176355670032
106930 ,88492 ,0.00674229367113,0.00304824095805,2.05521357195e-05,0.00489526731459,2.73751484431e-05
106930 ,88493 ,0.0131130186587,0.00321340453593,4.21374336374e-05,0.00816321159729,9.11386135268e-05
106930 ,88553 ,0.0142589475413,0.0138287123399,0.000197182883818,0.0140438299406,0.000197275434982
106930 ,88554 ,0.00769393631906,0.00969423398169,7.45868189172e-05,0.00869408515037,7.65874142867e-05
106930 ,88592 ,0.00540566892841,0.00850999732782,4.60022281359e-05,0.00695783312812,5.08206555416e-05
106930 ,88593 ,0.00432181130884,0.0155772380191,6.73218834317e-05,0.00994952466399,0.000130664198647
106930 ,88626 ,0.00619591360133,0.00254118897603,1.57449873401e-05,0.00436855128868,2.24234933835e-05
106930 ,88627 ,0.0130037419886,0.0103246891388,0.000134259593673,0.0116642155637,0.000137848255759
106930 ,88641 ,0.00731964515348,0.00862007650994,6.30959012486e-05,0.00796986083171,6.3941462105e-05
106930 ,88642 ,0.00323710286259,0.00638449255067,2.0667259112e-05,0.00481079770663,2.56202900363e-05
106930 ,88647 ,0.00596623506783,0.0061053837054,3.64261543657e-05,0.00603580938661,3.64358355374e-05
106930 ,88648 ,0.00367612083333,0.00638745025298,2.34810389469e-05,0.00503178554316,2.71566925578e-05
106930 ,88654 ,0.00600182974488,0.00514661696457,3.08891187835e-05,0.00557422335473,3.12548132333e-05
106930 ,88655 ,0.0033394086209,0.00581975777421,1.94345492828e-05,0.00457958319755,2.25106152439e-05
106930 ,88657 ,0.0148539595045,0.0205051652153,0.00030458289374,0.0176795623599,0.000320550956733
106930 ,88658 ,0.0154613484867,0.0160535516113,0.000248209555911,0.015757450049,0.000248384908181
106930 ,88673 ,0.00379224421904,0.00666605636232,2.52793137038e-05,0.00522915029068,2.94087118213e-05
106930 ,88674 ,0.00166117474854,0.0018066936914,3.00123393849e-06,0.00173393421997,3.01182181986e-06
106930 ,88693 ,0.00427388526061,0.00873696152889,3.73407711009e-05,0.00650542339475,4.73002959891e-05
106930 ,88694 ,0.00505583229135,0.00731561276143,3.69865112302e-05,0.00618572252639,3.95398151167e-05
106930 ,88700 ,0.00947963053718,0.00715585244762,6.7834837382e-05,0.0083177414924,7.05348096867e-05
106930 ,88701 ,0.0347612672715,0.00685217976223,0.000238190452107,0.0208067235169,0.000627649034908
106930 ,88705 ,0.00427124926912,0.00234589617587,1.00199073266e-05,0.00330857272249,1.18733995934e-05
106930 ,88706 ,0.00494129930666,0.00206075933094,1.01828286532e-05,0.0035010293188,1.4331583929e-05
106930 ,88707 ,0.0334589642108,0.0170002906655,0.000568812116951,0.0252296274382,0.000704256084386
106930 ,88708 ,0.00604928030437,0.00667964371812,4.04070371842e-05,0.00636446201124,4.06057162009e-05
106930 ,88711 ,0.0118594959857,0.00633604817533,7.51423379007e-05,0.00909777208053,9.03965757578e-05
106930 ,88712 ,0.00935707951093,0.00972256247799,9.09747901566e-05,0.00953982099446,9.10415790562e-05
106930 ,88721 ,0.0411232992804,0.0424162221821,0.00174429499914,0.0417697607313,0.00174513082396
106930 ,88722 ,0.0146775349407,0.0147514322761,0.000216514662657,0.0147144836084,0.000216517393066
106930 ,88725 ,0.00846171152418,0.00579334598674,4.90216224996e-05,0.00712752875546,5.25817098203e-05
